QUESTIONBANKCODE|QUESTIONCODE|QUESTIONTYPE|QUESTIONTEXT|QUESTIONTEXTFORMAT|QUESTIONFEEDBACK|OPTION|RIGHTOPTION|OPTIONFEEDBACK|ISCORRECT|OPTIONWEIGHT|ISCASESENSITIVE|RANDOMIZEOPTIONS|STATUS
IGNITE_DEV|IGNITE_FDS0201|1|Which of the following is NOT a prerequisite keyword in a connector configuration?|||inputDataShape|||0|0|||
IGNITE_DEV|IGNITE_FDS0201|1|Which of the following is NOT a prerequisite keyword in a connector configuration?|||outputDataShape|||0|0|||
IGNITE_DEV|IGNITE_FDS0201|1|Which of the following is NOT a prerequisite keyword in a connector configuration?|||actions|||0|0|||
IGNITE_DEV|IGNITE_FDS0201|1|Which of the following is NOT a prerequisite keyword in a connector configuration?|||None of the above|||1|100|||
IGNITE_DEV|IGNITE_FDS0202|5|A connector is a template from which multiple connections can be created.|||TRUE|||1|100|||
IGNITE_DEV|IGNITE_FDS0202|5|A connector is a template from which multiple connections can be created.|||FALSE|||0|0|||
IGNITE_DEV|IGNITE_FDS0203|1|Which of the following is NOT a valid reason for exporting Fuse Online integrations?|||Fuse Online infrastructure upgrade|||0|0|||
IGNITE_DEV|IGNITE_FDS0203|1|Which of the following is NOT a valid reason for exporting Fuse Online integrations?|||Thorntail microservice creation|||1|100|||
IGNITE_DEV|IGNITE_FDS0203|1|Which of the following is NOT a valid reason for exporting Fuse Online integrations?|||Production code release|||0|0|||
IGNITE_DEV|IGNITE_FDS0203|1|Which of the following is NOT a valid reason for exporting Fuse Online integrations?|||Disaster recovery|||0|0|||
IGNITE_DEV|IGNITE_FDS0204|1|Which of the following is the easiest and most effective approach to monitoring the Camel route in an active Fuse Online integration?|||Connect Red Hat Developer Studio to Fuse Online using a server connection|||0|0|||
IGNITE_DEV|IGNITE_FDS0204|1|Which of the following is the easiest and most effective approach to monitoring the Camel route in an active Fuse Online integration?|||Use Elasticsearch with Fluentd and Kibana to make a connection to Fuse Online|||0|0|||
IGNITE_DEV|IGNITE_FDS0204|1|Which of the following is the easiest and most effective approach to monitoring the Camel route in an active Fuse Online integration?|||Use the embedded Hawtio Console, accessible from the integration pod details page of the OpenShift console|||1|100|||
IGNITE_DEV|IGNITE_FDS0204|1|Which of the following is the easiest and most effective approach to monitoring the Camel route in an active Fuse Online integration?|||Tail the log file for the syndesis-server pod|||0|0|||
IGNITE_DEV|IGNITE_FDS0205|1|Which SQL stored procedure is available for use in the Salesforce connector?|||update address|||0|0|||
IGNITE_DEV|IGNITE_FDS0205|1|Which SQL stored procedure is available for use in the Salesforce connector?|||delete contact|||0|0|||
IGNITE_DEV|IGNITE_FDS0205|1|Which SQL stored procedure is available for use in the Salesforce connector?|||create case|||0|0|||
IGNITE_DEV|IGNITE_FDS0205|1|Which SQL stored procedure is available for use in the Salesforce connector?|||add lead|||1|100|||
